service_id,monday,tuesday,wednesday,thursday,friday,saturday,sunday,start_date,end_date
BUS32024-hba34ns1-Weekday-02,1,1,1,1,1,0,0,20240709,20240823
BUS32024-hbb34ns1-Weekday-02,1,1,1,1,1,0,0,20240709,20240823
BUS32024-hbc34ns1-Weekday-02,1,1,1,1,1,0,0,20240709,20240823
BUS32024-hbf34ns1-Weekday-02,1,1,1,1,1,0,0,20240709,20240823
BUS32024-hbg34ns1-Weekday-02,1,1,1,1,1,0,0,20240709,20240823
BUS32024-hbl343l1-Weekday-02,1,1,1,1,1,0,0,20240709,20240802
BUS32024-hbl34sn1-Weekday-02,1,1,1,1,1,0,0,20240805,20240823
BUS32024-hbq34ns1-Weekday-02,1,1,1,1,1,0,0,20240709,20240823
BUS32024-hbs34nt1-Weekday-02,1,1,1,1,1,0,0,20240805,20240823
BUS32024-hbs34ut1-Weekday-02,1,1,1,1,1,0,0,20240709,20240802
BUS32024-hbt34ns1-Weekday-02,1,1,1,1,1,0,0,20240709,20240823
Boat-EastBoston-Saturday-Summer-24,0,0,0,0,0,1,0,20240713,20240824
Boat-EastBoston-Sunday-Summer-24,0,0,0,0,0,0,1,20240714,20240818
Boat-F1-Saturday-Summer-24,0,0,0,0,0,1,0,20240713,20240824
Boat-F1-Sunday-Summer-24,0,0,0,0,0,0,1,20240714,20240818
Boat-F4-Saturday-Summer-24,0,0,0,0,0,1,0,20240713,20240824
Boat-F4-Sunday-Summer-24,0,0,0,0,0,0,1,20240714,20240818
Boat-Lynn-Saturday-Summer-24,0,0,0,0,0,1,0,20240713,20240824
Boat-Lynn-Sunday-Summer-24,0,0,0,0,0,0,1,20240714,20240818
GreenE-Medford-NSta-Saturday,0,0,0,0,0,1,0,20240713,20240713
GreenE-Medford-NSta-Sunday,0,0,0,0,0,0,1,20240714,20240714
LRV32024-hlb34011-Weekday-01,1,1,1,1,1,0,0,20240709,20240823
LRV32024-hlb34016-Saturday-01,0,0,0,0,0,1,0,20240720,20240824
LRV32024-hlb34017-Sunday-01,0,0,0,0,0,0,1,20240721,20240818
LRV32024-hlb34lm6-Saturday-01,0,0,0,0,0,1,0,20240713,20240713
LRV32024-hlb34lm7-Sunday-01,0,0,0,0,0,0,1,20240714,20240714
LRV32024-hlm34011-Weekday-01,1,1,1,1,1,0,0,20240709,20240823
PRIV22024-hpa24011-Weekday-01,1,1,1,1,1,0,0,20240709,20240715
PRIV22024-hpa24016-Saturday-01,0,0,0,0,0,1,0,20240713,20240713
PRIV22024-hpj24011-Weekday-01,1,1,1,1,1,0,0,20240709,20240715
PRIV22024-hpj24016-Saturday-01,0,0,0,0,0,1,0,20240713,20240713
PRIV22024-hpj24017-Sunday-01,0,0,0,0,0,0,1,20240714,20240714
PRIV32024-hpa34011-Weekday-01,1,1,1,1,1,0,0,20240716,20240823
PRIV32024-hpa34016-Saturday-01,0,0,0,0,0,1,0,20240720,20240824
PRIV32024-hpj34011-Weekday-01,1,1,1,1,1,0,0,20240716,20240823
PRIV32024-hpj34016-Saturday-01,0,0,0,0,0,1,0,20240720,20240824
PRIV32024-hpj34017-Sunday-01,0,0,0,0,0,0,1,20240721,20240818
PRIV32024-hpp34ns1-Weekday-01,1,1,1,1,1,0,0,20240709,20240823
RTL32024-hmb34011-Weekday-01,1,1,1,1,1,0,0,20240709,20240823
RTL32024-hmo34011-Weekday-01,1,1,1,1,1,0,0,20240709,20240823
RTL32024-hms34011-Wdy-01-19:45-AlfKnl,0,0,0,0,1,0,0,20240712,20240712
RTL32024-hms34011-Weekday-01,1,1,1,1,1,0,0,20240729,20240823
RTL32024-hms34016-Saturday-01,0,0,0,0,0,1,0,20240803,20240824
RTL32024-hms34017-Sunday-01,0,0,0,0,0,0,1,20240804,20240818
RTL32024-hms34ap1-Weekday-01,1,1,1,1,1,0,0,20240715,20240726
RTL32024-hms34ap6-Saturday-01,0,0,0,0,0,1,0,20240720,20240720
RTL32024-hms34ap7-Sunday-01,0,0,0,0,0,0,1,20240721,20240721
RTL324-hms34ap6-Sa-01-c6216a41,0,0,0,0,0,1,0,20240713,20240713
RTL324-hms34ap7-Su-01-c6216a41,0,0,0,0,0,0,1,20240714,20240714
Red-AlewifeKendall-Weekday-ef118,1,1,1,1,1,0,0,20240715,20240726
Red-AlewifeKendallExpress-Weekday-ef118,1,1,1,1,1,0,0,20240715,20240726
Red-AlewifeParkSt-Saturday-83130,0,0,0,0,0,1,0,20240713,20240727
Red-AlewifeParkSt-Sunday-83130,0,0,0,0,0,0,1,20240714,20240728
Red-AlewifeParkSt-Weekday-83130,1,1,1,1,1,0,0,20240715,20240726
Red-Harvard-Kendall-Weekday,1,1,1,1,1,0,0,20240715,20240726
SPRING2024-N-Sa-16-S6561ad1d-HvlBrdVn,0,0,0,0,0,1,1,20240720,20240824
SPRING2024-N-Sa-20-S6561ad1d-HvlBrdVn,0,0,0,0,0,1,0,20240727,20240727
SPRING2024-N-Su-20-S6561ad1d-HvlBrdVn,0,0,0,0,0,0,1,20240728,20240728
SPRING2024-N-Wdy-16-S6561ad1d-HvlBrdVn,1,1,1,1,1,0,0,20240715,20240823
SPRING2024-NORTHSAT-Saturday-19-S6d,0,0,0,0,0,1,0,20240713,20240713
SPRING2024-NORTHSUN-Sunday-19-S6561ad1d,0,0,0,0,0,0,1,20240714,20240714
SPRING2024-NORTHWKD-Weekday-17,1,1,1,1,1,0,0,20240715,20240726
SPRING2024-NORTHWKD-Weekday-5,1,1,1,1,1,0,0,20240729,20240823
SPRING2024-NORTHWKD-Weekday-5-S7d8482ee,1,1,1,1,1,0,0,20240709,20240823
SPRING2024-NORTHWKD-Weekday-5-S9d378dcf,1,1,1,1,1,0,0,20240709,20240823
SPRING2024-NORTHWKD-Weekday-9-S6561ad1d,0,1,1,1,1,0,0,20240709,20240712
SPRING2024-SOUTHSAT-Saturday-1-Sc5,0,0,0,0,0,1,0,20240727,20240824
SPRING2024-SOUTHSAT-Saturday-2-Sc5,0,0,0,0,0,1,0,20240713,20240720
SPRING2024-SOUTHSUN-Sunday-1-Scbbf1ea5,0,0,0,0,0,0,1,20240728,20240818
SPRING2024-SOUTHSUN-Sunday-2-Scbbf1ea5,0,0,0,0,0,0,1,20240714,20240721
SPRING2024-SOUTHWKD-Weekday-1,1,1,1,1,1,0,0,20240709,20240823
SPRING2024-SOUTHWKD-Weekday-1-5-S49,0,0,0,0,1,0,0,20240712,20240823
SPRING2024-SOUTHWKD-Weekday-1-S85407dc6,1,1,1,1,1,0,0,20240709,20240823
SPRING2024-SOUTHWKD-Weekday-1-S859962ef,1,1,1,1,1,0,0,20240709,20240823
SPRING2024-SOUTHWKD-Weekday-1-Sb7371956,1,1,1,1,1,0,0,20240709,20240823
SPRING2024-SOUTHWKD-Weekday-1-Sc9a3b080,1,1,1,1,1,0,0,20240709,20240823
SPRING2024-SOUTHWKD-Weekday-1-Scbbf1ea5,1,1,1,1,1,0,0,20240709,20240823
SPRING2024-SOUTHWKD-Weekday-15-Sb4,1,1,1,1,1,0,0,20240709,20240823
SPRING2024-SOUTHWKD-Weekday-62ZachBryan,0,0,1,0,0,0,0,20240717,20240717
Spring/SummerSaturday,0,0,0,0,0,1,0,20240713,20240824
Spring/SummerSunday,0,0,0,0,0,0,1,20240714,20240818
SummerSaturday,0,0,0,0,0,1,0,20240713,20240824
SummerSunday,0,0,0,0,0,0,1,20240714,20240818
SummerWeekday,1,1,1,1,1,0,0,20240709,20240823
canonical,0,0,0,0,0,0,0,20240709,20240824
fare_alewife_kendall_surge,1,1,1,1,1,1,1,20240714,20240728
fare_alewife_kendall_surge_begin,0,0,0,0,0,1,0,20240713,20240713
fare_alewife_kendall_surge_end,1,0,0,0,0,0,0,20240729,20240729
fare_regular,1,1,1,1,1,1,1,20240709,20240824
fare_sumner_tunnel_closure,1,1,1,1,1,1,1,20240709,20240805
fare_sumner_tunnel_closure_transition,0,1,0,0,0,0,0,20240806,20240806
