route_pattern_id,route_id,direction_id,route_pattern_name,route_pattern_time_desc,route_pattern_typicality,route_pattern_sort_order,representative_trip_id,canonical_route_pattern
Red-3-0,Red,0,Alewife - Braintree,,1,100100000,canonical-Red-C1-0,1
Red-1-0,Red,0,Alewife - Ashmont,,1,100100001,canonical-Red-C2-0,1
Red-F-0,Red,0,Kendall/MIT - Braintree,Weekdays only,3,100100120,63814043,2
Red-G-0,Red,0,Kendall/MIT - Ashmont,Weekdays only,3,100100130,63813880,2
Red-H-0,Red,0,Park Street - Braintree,,3,100100140,63814095,2
Red-I-0,Red,0,Park Street - Ashmont,,3,100100150,63814096,2
Red-1-0_70061_70071_2,Red,0,Kendall/MIT - Ashmont,,4,100100990,63288148-19:45-AlewifeKendall2,2
Red-3-0_70061_70071_2,Red,0,Kendall/MIT - Braintree,,4,100100990,63288435-19:45-AlewifeKendall2,2
Red-H-0_70075_70085_2_70075_70095_2,Red,0,JFK/UMass - Braintree,,4,100100990,63846621-JFKParkAshmontPlatformsJFKParkBraintreePlatforms22,2
Red-I-0_70075_70085_2,Red,0,JFK/UMass - Ashmont,,4,100100990,63868700-JFKParkAshmontPlatformsJFKParkBraintreePlatforms2,2
Red-3-1,Red,1,Braintree - Alewife,,1,100101000,canonical-Red-C1-1,1
Red-1-1,Red,1,Ashmont - Alewife,,1,100101001,canonical-Red-C2-1,1
Red-F-1,Red,1,Braintree - Kendall/MIT,Weekdays only,3,100101130,63813993,2
Red-G-1,Red,1,Ashmont - Kendall/MIT,Weekdays only,3,100101140,63813879,2
Red-H-1,Red,1,Braintree - Park Street,,3,100101150,63814110,2
Red-I-1,Red,1,Ashmont - Park Street,,3,100101160,63813905,2
Red-1-1_70072_70061_0,Red,1,Ashmont - Kendall/MIT,,4,100101990,63288179-19:45-AlewifeKendall0,2
Red-3-1_70072_70061_0,Red,1,Braintree - Kendall/MIT,,4,100101990,63288294-19:45-AlewifeKendall0,2
Red-H-1_70096_70076_0,Red,1,Braintree - JFK/UMass,,4,100101990,63846622-JFKParkAshmontPlatformsJFKParkBraintreePlatforms0,2
Red-I-1_70086_70076_0,Red,1,Ashmont - JFK/UMass,,4,100101990,63868644-JFKParkAshmontPlatformsJFKParkBraintreePlatforms0,2
Mattapan-_-0,Mattapan,0,Ashmont - Mattapan,,1,100110000,canonical-Mattapan-C1-0,1
Mattapan-_-1,Mattapan,1,Mattapan - Ashmont,,1,100111000,canonical-Mattapan-C1-1,1
Orange-3-0,Orange,0,Oak Grove - Forest Hills,,1,100200000,canonical-Orange-C1-0,1
Orange-3-1,Orange,1,Forest Hills - Oak Grove,,1,100201000,canonical-Orange-C1-1,1
Green-B-812-0,Green-B,0,Government Center - Boston College,,1,100320000,canonical-Green-B-C1-0,1
Green-B-816-0,Green-B,0,Medford/Tufts - Boston College,Mornings only,3,100320040,62922698,2
Green-B-812-1,Green-B,1,Boston College - Government Center,,1,100321000,canonical-Green-B-C1-1,1
Green-B-816-1,Green-B,1,Boston College - Medford/Tufts,Early mornings only,3,100321040,62922699,2
Green-C-832-0,Green-C,0,Government Center - Cleveland Circle,,1,100330000,canonical-Green-C-C1-0,1
Green-C-836-0,Green-C,0,Medford/Tufts - Cleveland Circle,Mornings only,3,100330040,62921802,2
Green-C-832-1,Green-C,1,Cleveland Circle - Government Center,,1,100331000,canonical-Green-C-C1-1,1
Green-C-836-1,Green-C,1,Cleveland Circle - Medford/Tufts,Early mornings only,3,100331040,62921858,2
Green-D-855-0,Green-D,0,Union Square - Riverside,,1,100340000,canonical-Green-D-C1-0,1
Green-D-856-0,Green-D,0,Medford/Tufts - Riverside,Weekday mornings only,3,100340040,62922288,2
Green-D-845-0,Green-D,0,Union Square - Reservoir,Weekday evenings only,3,100340060,62922475,2
Green-D-841-0,Green-D,0,North Station - Reservoir,Weekend evenings only,3,100340080,64390572,2
Green-D-851-0,Green-D,0,North Station - Riverside,Weekends only,3,100340090,64363923,2
Green-D-855-1,Green-D,1,Riverside - Union Square,,1,100341000,canonical-Green-D-C1-1,1
Green-D-845-1,Green-D,1,Reservoir - Union Square,Weekday early mornings only,3,100341040,62922252,2
Green-D-856-1,Green-D,1,Riverside - Medford/Tufts,Weekday early mornings only,3,100341060,62922287,2
Green-D-841-1,Green-D,1,Reservoir - North Station,Weekends only,3,100341080,64364306,2
Green-D-851-1,Green-D,1,Riverside - North Station,Weekends only,3,100341090,64335117,2
Green-E-886-0,Green-E,0,Medford/Tufts - Heath Street,,1,100350000,canonical-Green-E-C1-0,1
Green-E-885-0,Green-E,0,Union Square - Heath Street,Early mornings only,3,100350040,62922139,2
Green-E-881-0,Green-E,0,North Station - Heath Street,Weekends only,3,100350070,64364068,2
Green-E-886-1,Green-E,1,Heath Street - Medford/Tufts,,1,100351000,canonical-Green-E-C1-1,1
Green-E-86-1,Green-E,1,East Somerville - Medford/Tufts,,3,100351040,62921892,2
Green-E-881-1,Green-E,1,Heath Street - North Station,Weekends only,3,100351070,64364185,2
Blue-6-0,Blue,0,Wonderland - Bowdoin,,1,100400000,canonical-Blue-C1-0,1
Blue-8-0,Blue,0,Orient Heights - Bowdoin,,3,100400040,63350099,2
Blue-6-1,Blue,1,Bowdoin - Wonderland,,1,100401000,canonical-Blue-C1-1,1
741-_-0,741,0,South Station - Logan Airport Terminals,,1,100510000,63481136,0
741-_-1,741,1,Logan Airport Terminals - South Station,,1,100511000,63481140,0
741-2-1,741,1,Logan Airport Terminals - South Station (Surface Route),Late nights only,3,100511040,63481189,0
742-_-0,742,0,South Station - Drydock Ave (PM Route),,1,100520000,63480525,0
742-3-1,742,1,Drydock Ave - South Station (PM - Omits 88 Black Falcon Ave),,1,100521000,63480524,0
743-_-0,743,0,South Station - Chelsea Station,,1,100530000,63481371,0
743-_-1,743,1,Chelsea Station - South Station,,1,100531000,63481380,0
743-1-1,743,1,Chelsea Station - South Station (Surface Route),Late nights only,3,100531040,63481369,0
751-_-0,751,0,South Station - Nubian Station,,1,100550000,63480178,0
751-_-1,751,1,Nubian Station - South Station,,1,100551000,63480184,0
749-_-0,749,0,Temple Place - Nubian Station,,1,100560000,63480011,0
749-_-1,749,1,Nubian Station - Temple Place,,1,100561000,63480010,0
746-_-0,746,0,South Station - Silver Line Way,,1,100570000,63480760,0
746-_-1,746,1,Silver Line Way - South Station,,1,100571000,63480280,0
CR-Fairmount-195ea3c8-0,CR-Fairmount,0,South Station - Readville via Fairmount,,1,200010000,canonical-CR-Fairmount-C1-0,1
CR-Fairmount-3914aae7-0,CR-Fairmount,0,South Station - Fairmount,,2,200010010,CR-670349-921,2
CR-Fairmount-ff9cd1ee-1,CR-Fairmount,1,Readville - South Station via Fairmount,,1,200011000,canonical-CR-Fairmount-C1-1,1
CR-Fairmount-6ae938c4-1,CR-Fairmount,1,Fairmount - South Station,,2,200011010,CR-670350-922,2
CR-Fitchburg-2a5f6366-0,CR-Fitchburg,0,North Station - Wachusett,,1,200020000,canonical-CR-Fitchburg-C1-0,1
CR-Fitchburg-8294748d-0,CR-Fitchburg,0,North Station - Wachusett,,2,200020030,Porter-685086-423,2
CR-Fitchburg-acb28c6e-0,CR-Fitchburg,0,North Station - Littleton/Route 495,,2,200020040,Porter-685097-481,2
CR-Fitchburg-64620ee3-0,CR-Fitchburg,0,North Station - Porter,,2,200020050,Porter-685234-8405,2
CR-Fitchburg-d82ea33a-1,CR-Fitchburg,1,Wachusett - North Station,,1,200021000,canonical-CR-Fitchburg-C1-1,1
CR-Fitchburg-94972bc9-1,CR-Fitchburg,1,Wachusett - North Station,,2,200021030,Porter-685073-404,2
CR-Fitchburg-6528076d-1,CR-Fitchburg,1,Littleton/Route 495 - North Station,,2,200021040,Porter-685098-482,2
CR-Fitchburg-ade26425-1,CR-Fitchburg,1,Porter - North Station,,2,200021050,Porter-685231-8400,2
CR-Worcester-b5dda27b-0,CR-Worcester,0,South Station - Worcester,,2,200030020,canonical-CR-Worcester-C1-0,1
CR-Worcester-b7d67732-0,CR-Worcester,0,South Station - Framingham,,2,200030030,CR-683318-591,2
CR-Worcester-d18892dd-0,CR-Worcester,0,South Station - Framingham,,2,200030040,CR-683322-595,2
CR-Worcester-b65b9e75-0,CR-Worcester,0,South Station - Framingham,,2,200030110,CR-683314-583,2
CR-Worcester-bbf42cea-0,CR-Worcester,0,South Station - Framingham,,2,200030120,CR-683316-585,2
CR-Worcester-3c40051f-0,CR-Worcester,0,South Station - Worcester,,2,200030130,CR-683310-537,2
CR-Worcester-15b1f0b8-0,CR-Worcester,0,South Station - Worcester,,2,200030140,CR-683296-523,2
CR-Worcester-b7d1e6e8-0,CR-Worcester,0,South Station - Worcester,,2,200030150,CR-683304-531,2
CR-Worcester-02498220-0,CR-Worcester,0,South Station - Worcester,,2,200030160,CR-683302-529,2
CR-Worcester-6436caf7-0,CR-Worcester,0,South Station - Worcester,,2,200030170,CR-683278-501,2
CR-Worcester-6fbe3217-0,CR-Worcester,0,South Station - Worcester,,2,200030180,CR-683281-507,2
CR-Worcester-a512d591-0,CR-Worcester,0,South Station - Worcester,,2,200030210,CR-683694-505,2
CR-Worcester-2fe54abd-0,CR-Worcester,0,South Station - Worcester,,2,200030220,CR-683698-549,2
CR-Worcester-5d1e1c51-0,CR-Worcester,0,South Station - Worcester,,2,200030230,CR-683298-525,2
CR-Worcester-647db84d-1,CR-Worcester,1,Worcester - South Station,,2,200031020,CR-683277-500,2
CR-Worcester-8171c73d-1,CR-Worcester,1,Framingham - South Station,,2,200031030,CR-683321-594,2
CR-Worcester-8e925022-1,CR-Worcester,1,Framingham - South Station,,2,200031040,CR-683319-592,2
CR-Worcester-6874ed14-1,CR-Worcester,1,Framingham - South Station,,2,200031140,CR-683315-584,2
CR-Worcester-257727ec-1,CR-Worcester,1,Worcester - South Station,,2,200031170,CR-683303-530,2
CR-Worcester-16491f70-1,CR-Worcester,1,Worcester - South Station,,2,200031180,CR-683299-526,2
CR-Worcester-38ca01ee-1,CR-Worcester,1,Worcester - South Station,,2,200031190,CR-683297-524,2
CR-Worcester-a814f00c-1,CR-Worcester,1,Worcester - South Station,,2,200031200,CR-683289-516,2
CR-Worcester-72c8dfb6-1,CR-Worcester,1,Worcester - South Station,,2,200031210,CR-683279-504,2
CR-Worcester-16e1833f-1,CR-Worcester,1,Worcester - South Station,,2,200031250,CR-683696-552,2
CR-Worcester-C1-1,CR-Worcester,1,Worcester - South Station,,5,200031991,canonical-CR-Worcester-C1-1,1
CR-Franklin-3badde55-0,CR-Franklin,0,South Station - Forge Park/495 via Back Bay,,1,200040000,CR-670214-705,2
CR-Franklin-35c1126a-0,CR-Franklin,0,South Station - Foxboro via Fairmount,,1,200040010,CR-670238-741,2
CR-Franklin-1af2beab-0,CR-Franklin,0,South Station - Foxboro via Back Bay,,2,200040020,CR-670248-751,2
CR-Franklin-8076e72e-0,CR-Franklin,0,South Station - Foxboro via Back Bay,,2,200040030,CR-670244-747,2
CR-Franklin-512734e4-0,CR-Franklin,0,South Station - Foxboro via Back Bay,,2,200040040,CR-670240-743,2
CR-Franklin-807421e2-0,CR-Franklin,0,South Station - Forge Park/495 via Fairmount,,2,200040050,CR-670236-735,2
CR-Franklin-78461397-0,CR-Franklin,0,South Station - Forge Park/495 via Back Bay,,2,200040060,CR-670225-723,2
CR-Franklin-b8c4a7ca-0,CR-Franklin,0,South Station - Forge Park/495 via Back Bay,,2,200040070,CR-670219-713,2
CR-Franklin-2757d279-0,CR-Franklin,0,South Station - Foxboro via Back Bay,,2,200040080,CR-670252-755,2
CR-Franklin-f3922b8c-0,CR-Franklin,0,South Station - Foxboro via Back Bay,,2,200040090,CR-670250-753,2
CR-Franklin-dabfeb0c-0,CR-Franklin,0,South Station - Forge Park/495 via Back Bay,,2,200040100,CR-670232-731,2
CR-Franklin-36a30c21-0,CR-Franklin,0,South Station - Forge Park/495 via Back Bay,,2,200040120,CR-670226-725,2
CR-Franklin-dc09eba3-0,CR-Franklin,0,South Station - Forge Park/495 via Back Bay,,2,200040130,CR-670223-721,2
CR-Franklin-C1-0,CR-Franklin,0,South Station - Forge Park/495 via Back Bay,,5,200040991,canonical-CR-Franklin-C1-0,1
CR-Franklin-C2-0,CR-Franklin,0,South Station - Foxboro via Back Bay,,5,200040992,canonical-CR-Franklin-C2-0,1
CR-Franklin-02118599-1,CR-Franklin,1,Forge Park/495 - South Station via Back Bay,,1,200041000,CR-670213-704,2
CR-Franklin-cb37a682-1,CR-Franklin,1,Foxboro - South Station via Fairmount,,1,200041010,CR-670237-740,2
CR-Franklin-47d24b90-1,CR-Franklin,1,Foxboro - South Station via Back Bay,,2,200041030,CR-670241-744,2
CR-Franklin-be153239-1,CR-Franklin,1,Foxboro - South Station via Back Bay,,2,200041040,CR-670251-754,2
CR-Franklin-d7300846-1,CR-Franklin,1,Foxboro - South Station via Back Bay,,2,200041050,CR-670239-742,2
