from_stop_id,to_stop_id,transfer_type,min_transfer_time,min_walk_time,min_wheelchair_time,suggested_buffer_time,wheelchair_transfer,from_trip_id,to_trip_id
121,70085,1,,,,,,63868700-JFKParkAshmontPlatformsJFKParkBraintreePlatformsJFKParkAshmontPlatforms,63868700-JFKParkAshmontPlatformsJFKParkBraintreePlatforms2
121,70085,1,,,,,,63868701-JFKParkAshmontPlatformsJFKParkBraintreePlatformsJFKParkAshmontPlatforms,63868701-JFKParkAshmontPlatformsJFKParkBraintreePlatforms2
121,70085,1,,,,,,63868702-JFKParkAshmontPlatformsJFKParkBraintreePlatformsJFKParkAshmontPlatforms,63868702-JFKParkAshmontPlatformsJFKParkBraintreePlatforms2
121,70085,1,,,,,,63868703-JFKParkAshmontPlatformsJFKParkBraintreePlatformsJFKParkAshmontPlatforms,63868703-JFKParkAshmontPlatformsJFKParkBraintreePlatforms2
121,70085,1,,,,,,63868704-JFKParkAshmontPlatformsJFKParkBraintreePlatformsJFKParkAshmontPlatforms,63868704-JFKParkAshmontPlatformsJFKParkBraintreePlatforms2
121,70085,1,,,,,,63868705-JFKParkAshmontPlatformsJFKParkBraintreePlatformsJFKParkAshmontPlatforms,63868705-JFKParkAshmontPlatformsJFKParkBraintreePlatforms2
121,70085,1,,,,,,63868706-JFKParkAshmontPlatformsJFKParkBraintreePlatformsJFKParkAshmontPlatforms,63868706-JFKParkAshmontPlatformsJFKParkBraintreePlatforms2
121,70085,1,,,,,,63868707-JFKParkAshmontPlatformsJFKParkBraintreePlatformsJFKParkAshmontPlatforms,63868707-JFKParkAshmontPlatformsJFKParkBraintreePlatforms2
121,70085,1,,,,,,63868708-JFKParkAshmontPlatformsJFKParkBraintreePlatformsJFKParkAshmontPlatforms,63868708-JFKParkAshmontPlatformsJFKParkBraintreePlatforms2
121,70085,1,,,,,,63868709-JFKParkAshmontPlatformsJFKParkBraintreePlatformsJFKParkAshmontPlatforms,63868709-JFKParkAshmontPlatformsJFKParkBraintreePlatforms2
121,70085,1,,,,,,63868710-JFKParkAshmontPlatformsJFKParkBraintreePlatformsJFKParkAshmontPlatforms,63868710-JFKParkAshmontPlatformsJFKParkBraintreePlatforms2
121,70085,1,,,,,,63868711-JFKParkAshmontPlatformsJFKParkBraintreePlatformsJFKParkAshmontPlatforms,63868711-JFKParkAshmontPlatformsJFKParkBraintreePlatforms2
121,70085,1,,,,,,63868712-JFKParkAshmontPlatformsJFKParkBraintreePlatformsJFKParkAshmontPlatforms,63868712-JFKParkAshmontPlatformsJFKParkBraintreePlatforms2
121,70085,1,,,,,,63868713-JFKParkAshmontPlatformsJFKParkBraintreePlatformsJFKParkAshmontPlatforms,63868713-JFKParkAshmontPlatformsJFKParkBraintreePlatforms2
121,70085,1,,,,,,63868714-JFKParkAshmontPlatformsJFKParkBraintreePlatformsJFKParkAshmontPlatforms,63868714-JFKParkAshmontPlatformsJFKParkBraintreePlatforms2
121,70085,1,,,,,,63868715-JFKParkAshmontPlatformsJFKParkBraintreePlatformsJFKParkAshmontPlatforms,63868715-JFKParkAshmontPlatformsJFKParkBraintreePlatforms2
121,70085,1,,,,,,63868716-JFKParkAshmontPlatformsJFKParkBraintreePlatformsJFKParkAshmontPlatforms,63868716-JFKParkAshmontPlatformsJFKParkBraintreePlatforms2
121,70085,1,,,,,,63868717-JFKParkAshmontPlatformsJFKParkBraintreePlatformsJFKParkAshmontPlatforms,63868717-JFKParkAshmontPlatformsJFKParkBraintreePlatforms2
121,70085,1,,,,,,63868718-JFKParkAshmontPlatformsJFKParkBraintreePlatformsJFKParkAshmontPlatforms,63868718-JFKParkAshmontPlatformsJFKParkBraintreePlatforms2
121,70085,1,,,,,,63868719-JFKParkAshmontPlatformsJFKParkBraintreePlatformsJFKParkAshmontPlatforms,63868719-JFKParkAshmontPlatformsJFKParkBraintreePlatforms2
121,70085,1,,,,,,63868720-JFKParkAshmontPlatformsJFKParkBraintreePlatformsJFKParkAshmontPlatforms,63868720-JFKParkAshmontPlatformsJFKParkBraintreePlatforms2
121,70085,1,,,,,,63868721-JFKParkAshmontPlatformsJFKParkBraintreePlatformsJFKParkAshmontPlatforms,63868721-JFKParkAshmontPlatformsJFKParkBraintreePlatforms2
121,70085,1,,,,,,63868722-JFKParkAshmontPlatformsJFKParkBraintreePlatformsJFKParkAshmontPlatforms,63868722-JFKParkAshmontPlatformsJFKParkBraintreePlatforms2
121,70085,1,,,,,,63868723-JFKParkAshmontPlatformsJFKParkBraintreePlatformsJFKParkAshmontPlatforms,63868723-JFKParkAshmontPlatformsJFKParkBraintreePlatforms2
121,70085,1,,,,,,63868724-JFKParkAshmontPlatformsJFKParkBraintreePlatformsJFKParkAshmontPlatforms,63868724-JFKParkAshmontPlatformsJFKParkBraintreePlatforms2
121,70085,1,,,,,,63868725-JFKParkAshmontPlatformsJFKParkBraintreePlatformsJFKParkAshmontPlatforms,63868725-JFKParkAshmontPlatformsJFKParkBraintreePlatforms2
121,70085,1,,,,,,63868726-JFKParkAshmontPlatformsJFKParkBraintreePlatformsJFKParkAshmontPlatforms,63868726-JFKParkAshmontPlatformsJFKParkBraintreePlatforms2
121,70085,1,,,,,,63868727-JFKParkAshmontPlatformsJFKParkBraintreePlatformsJFKParkAshmontPlatforms,63868727-JFKParkAshmontPlatformsJFKParkBraintreePlatforms2
121,70085,1,,,,,,63868728-JFKParkAshmontPlatformsJFKParkBraintreePlatformsJFKParkAshmontPlatforms,63868728-JFKParkAshmontPlatformsJFKParkBraintreePlatforms2
121,70085,1,,,,,,63868729-JFKParkAshmontPlatformsJFKParkBraintreePlatformsJFKParkAshmontPlatforms,63868729-JFKParkAshmontPlatformsJFKParkBraintreePlatforms2
121,70085,1,,,,,,63868730-JFKParkAshmontPlatformsJFKParkBraintreePlatformsJFKParkAshmontPlatforms,63868730-JFKParkAshmontPlatformsJFKParkBraintreePlatforms2
121,70085,1,,,,,,63868731-JFKParkAshmontPlatformsJFKParkBraintreePlatformsJFKParkAshmontPlatforms,63868731-JFKParkAshmontPlatformsJFKParkBraintreePlatforms2
121,70085,1,,,,,,63868732-JFKParkAshmontPlatformsJFKParkBraintreePlatformsJFKParkAshmontPlatforms,63868732-JFKParkAshmontPlatformsJFKParkBraintreePlatforms2
121,70085,1,,,,,,63868733-JFKParkAshmontPlatformsJFKParkBraintreePlatformsJFKParkAshmontPlatforms,63868733-JFKParkAshmontPlatformsJFKParkBraintreePlatforms2
121,70085,1,,,,,,63868734-JFKParkAshmontPlatformsJFKParkBraintreePlatformsJFKParkAshmontPlatforms,63868734-JFKParkAshmontPlatformsJFKParkBraintreePlatforms2
121,70085,1,,,,,,63868735-JFKParkAshmontPlatformsJFKParkBraintreePlatformsJFKParkAshmontPlatforms,63868735-JFKParkAshmontPlatformsJFKParkBraintreePlatforms2
121,70085,1,,,,,,63868736-JFKParkAshmontPlatformsJFKParkBraintreePlatformsJFKParkAshmontPlatforms,63868736-JFKParkAshmontPlatformsJFKParkBraintreePlatforms2
121,70085,1,,,,,,63868737-JFKParkAshmontPlatformsJFKParkBraintreePlatformsJFKParkAshmontPlatforms,63868737-JFKParkAshmontPlatformsJFKParkBraintreePlatforms2
121,70085,1,,,,,,63868738-JFKParkAshmontPlatformsJFKParkBraintreePlatformsJFKParkAshmontPlatforms,63868738-JFKParkAshmontPlatformsJFKParkBraintreePlatforms2
121,70085,1,,,,,,63868739-JFKParkAshmontPlatformsJFKParkBraintreePlatformsJFKParkAshmontPlatforms,63868739-JFKParkAshmontPlatformsJFKParkBraintreePlatforms2
121,70085,1,,,,,,63868740-JFKParkAshmontPlatformsJFKParkBraintreePlatformsJFKParkAshmontPlatforms,63868740-JFKParkAshmontPlatformsJFKParkBraintreePlatforms2
121,70085,1,,,,,,63868741-JFKParkAshmontPlatformsJFKParkBraintreePlatformsJFKParkAshmontPlatforms,63868741-JFKParkAshmontPlatformsJFKParkBraintreePlatforms2
121,70085,1,,,,,,63868742-JFKParkAshmontPlatformsJFKParkBraintreePlatformsJFKParkAshmontPlatforms,63868742-JFKParkAshmontPlatformsJFKParkBraintreePlatforms2
121,70085,1,,,,,,63868743-JFKParkAshmontPlatformsJFKParkBraintreePlatformsJFKParkAshmontPlatforms,63868743-JFKParkAshmontPlatformsJFKParkBraintreePlatforms2
121,70085,1,,,,,,63868744-JFKParkAshmontPlatformsJFKParkBraintreePlatformsJFKParkAshmontPlatforms,63868744-JFKParkAshmontPlatformsJFKParkBraintreePlatforms2
121,70085,1,,,,,,63868745-JFKParkAshmontPlatformsJFKParkBraintreePlatformsJFKParkAshmontPlatforms,63868745-JFKParkAshmontPlatformsJFKParkBraintreePlatforms2
121,70085,1,,,,,,63868746-JFKParkAshmontPlatformsJFKParkBraintreePlatformsJFKParkAshmontPlatforms,63868746-JFKParkAshmontPlatformsJFKParkBraintreePlatforms2
121,70085,1,,,,,,63868747-JFKParkAshmontPlatformsJFKParkBraintreePlatformsJFKParkAshmontPlatforms,63868747-JFKParkAshmontPlatformsJFKParkBraintreePlatforms2
121,70085,1,,,,,,63868748-JFKParkAshmontPlatformsJFKParkBraintreePlatformsJFKParkAshmontPlatforms,63868748-JFKParkAshmontPlatformsJFKParkBraintreePlatforms2
121,70085,1,,,,,,63868749-JFKParkAshmontPlatformsJFKParkBraintreePlatformsJFKParkAshmontPlatforms,63868749-JFKParkAshmontPlatformsJFKParkBraintreePlatforms2
121,70085,1,,,,,,63868750-JFKParkAshmontPlatformsJFKParkBraintreePlatformsJFKParkAshmontPlatforms,63868750-JFKParkAshmontPlatformsJFKParkBraintreePlatforms2
121,70085,1,,,,,,63868751-JFKParkAshmontPlatformsJFKParkBraintreePlatformsJFKParkAshmontPlatforms,63868751-JFKParkAshmontPlatformsJFKParkBraintreePlatforms2
121,70085,1,,,,,,63868752-JFKParkAshmontPlatformsJFKParkBraintreePlatformsJFKParkAshmontPlatforms,63868752-JFKParkAshmontPlatformsJFKParkBraintreePlatforms2
121,70085,1,,,,,,63868753-JFKParkAshmontPlatformsJFKParkBraintreePlatformsJFKParkAshmontPlatforms,63868753-JFKParkAshmontPlatformsJFKParkBraintreePlatforms2
121,70085,1,,,,,,63868754-JFKParkAshmontPlatformsJFKParkBraintreePlatformsJFKParkAshmontPlatforms,63868754-JFKParkAshmontPlatformsJFKParkBraintreePlatforms2
121,70085,1,,,,,,63868755-JFKParkAshmontPlatformsJFKParkBraintreePlatformsJFKParkAshmontPlatforms,63868755-JFKParkAshmontPlatformsJFKParkBraintreePlatforms2
121,70085,1,,,,,,63868757-JFKParkAshmontPlatformsJFKParkBraintreePlatformsJFKParkAshmontPlatforms,63868757-JFKParkAshmontPlatformsJFKParkBraintreePlatforms2
121,70085,1,,,,,,63868933-JFKParkAshmontPlatformsJFKParkBraintreePlatformsJFKParkAshmontPlatforms,63868933-JFKParkAshmontPlatformsJFKParkBraintreePlatforms2
121,70085,1,,,,,,63868934-JFKParkAshmontPlatformsJFKParkBraintreePlatformsJFKParkAshmontPlatforms,63868934-JFKParkAshmontPlatformsJFKParkBraintreePlatforms2
121,70085,1,,,,,,63868935-JFKParkAshmontPlatformsJFKParkBraintreePlatformsJFKParkAshmontPlatforms,63868935-JFKParkAshmontPlatformsJFKParkBraintreePlatforms2
