trip_id,trip_property_id,value
62502638,note,Waits at Forest Hills for last Orange Line train
62502638,trip_type,wait
62502993,note,Waits at Ashmont for last Red Line train
62502993,note,Waits at Mattapan for last Mattapan Trolley train
62502993,trip_type,wait
62503093,note,Waits at Forest Hills for last Orange Line train
62503093,trip_type,wait
62503283,note,Waits at Forest Hills for last Orange Line train
62503283,trip_type,wait
62503635,note,Waits at Ashmont for last Red Line train
62503635,trip_type,wait
62503665,note,Waits at Forest Hills for last Orange Line train
62503665,trip_type,wait
62504856,note,Waits at Forest Hills for last Orange Line train
62504856,trip_type,wait
62505092,note,Waits at Forest Hills for last Orange Line train
62505092,trip_type,wait
62505173,note,Waits at Forest Hills for last Orange Line train
62505173,trip_type,wait
62505391,note,Waits at Forest Hills for last Orange Line train
62505391,trip_type,wait
62820931,note,Waits at Ruggles for last Orange Line train
62820931,trip_type,wait
62820957,note,Waits at Tremont St opp Temple Pl for last Red Line and Green Line trains
62820957,trip_type,wait
62821068,note,Waits at W Broadway @ Broadway Station for last Red Line train
62821068,trip_type,wait
62821277,note,Waits at W Broadway @ Broadway Station for last Red Line train
62821277,trip_type,wait
62821311,note,Waits at Ruggles for last Orange Line train
62821311,trip_type,wait
62821383,note,Waits at Green St @ Magazine St for last Red Line train
62821383,trip_type,wait
62821390,note,Waits at Ruggles for last Orange Line train
62821390,trip_type,wait
62821526,note,Waits at Boylston St @ Dartmouth St for last Green Line train
62821526,trip_type,wait
62821597,note,Waits at Kenmore for last Green Line train
62821597,trip_type,wait
62821788,note,Waits at Ashmont for last Red Line train
62821788,trip_type,wait
62821846,note,Waits at Ruggles for last Orange Line train
62821846,trip_type,wait
62821919,note,Waits at Andrew for last Red Line train
62821919,trip_type,wait
62821920,note,Waits at Forest Hills for last Orange Line train
62821920,trip_type,wait
62822030,note,Waits at Harvard Sq @ Garden St - Dawes Island for last Red Line train
62822030,trip_type,wait
62822059,note,Waits at Nubian for last Silver Line bus
62822059,trip_type,wait
62822328,note,Waits at Nubian for last Silver Line bus
62822328,trip_type,wait
62822424,note,Waits at Massachusetts Ave opp Holyoke St for last Red Line train
62822424,trip_type,wait
62825057,note,Waits at Ruggles for last Orange Line train
62825057,trip_type,wait
62825097,note,Waits at Tremont St opp Temple Pl for last Red Line and Green Line trains
62825097,trip_type,wait
62825237,note,Waits at W Broadway @ Broadway Station for last Red Line train
62825237,trip_type,wait
62825348,note,Waits at Massachusetts Ave opp Holyoke St for last Red Line train
62825348,trip_type,wait
62825350,note,Waits at Nubian for last Silver Line bus
62825350,trip_type,wait
62825458,note,Waits at W Broadway @ Broadway Station for last Red Line train
62825458,trip_type,wait
62825590,note,Waits at Ruggles for last Orange Line train
62825590,trip_type,wait
62825802,note,Waits at Nubian for last Silver Line bus
62825802,trip_type,wait
62825812,note,Waits at Harvard Sq @ Garden St - Dawes Island for last Red Line train
62825812,trip_type,wait
62825954,note,Waits at Kenmore for last Green Line train
62825954,trip_type,wait
62826011,note,Waits at Boylston St @ Dartmouth St for last Green Line train
62826011,trip_type,wait
62826092,note,Waits at Andrew for last Red Line train
62826092,trip_type,wait
62826093,note,Waits at Forest Hills for last Orange Line train
62826093,trip_type,wait
62826288,note,Waits at Ashmont for last Red Line train
62826288,trip_type,wait
62826359,note,Waits at Ruggles for last Orange Line train
62826359,trip_type,wait
62851902,note,Waits at Park Street for last Red Line and Green Line trains
62851902,trip_type,wait
62852347,note,Waits at Park Street for last Red Line and Green Line trains
62852347,trip_type,wait
62852367,note,Waits at some downtown stations for connections
62852367,trip_type,wait
62852410,note,Waits at Park Street for last Red Line and Green Line trains
62852410,trip_type,wait
62852465,note,Waits at Park Street for last Red Line and Green Line trains
62852465,trip_type,wait
62853140,note,Waits at some downtown stations for connections
62853140,trip_type,wait
62853909,note,Waits at Park Street for last Red Line and Green Line trains
62853909,trip_type,wait
62854257,note,Waits at Park Street for last Red Line and Green Line trains
62854257,trip_type,wait
62854259,note,Waits at Park Street for last Red Line and Green Line trains
62854259,trip_type,wait
62854308,note,Waits at Park Street for last Red Line and Green Line trains
62854308,trip_type,wait
62854513,note,Waits at Park Street for last Red Line and Green Line trains
62854513,trip_type,wait
62854633,note,Waits at Park Street for last Red Line and Green Line trains
62854633,trip_type,wait
62860539,note,Waits at Ashmont for last Red Line train
62860539,note,Waits at Ashmont for last Red Line train
62860539,trip_type,wait
62860730,note,Waits at Ashmont for last Red Line train
62860730,note,Waits at Ashmont for last Red Line train
62860730,trip_type,wait
62861036,note,Waits at Ashmont for last Red Line train
62861036,trip_type,wait
62921857,note,Waits at some downtown stations for connections
62921857,trip_type,wait
62921963,note,Waits at some downtown stations for connections
62921963,trip_type,wait
62922158,note,Waits at Park Street for last Red Line and Green Line trains
62922158,trip_type,wait
62922343,note,Waits at Park Street for last Red Line and Green Line trains
62922343,trip_type,wait
62922399,note,Waits at Park Street for last Red Line and Green Line trains
62922399,trip_type,wait
62922605,note,Waits at Park Street for last Red Line and Green Line trains
62922605,trip_type,wait
63070771,note,Waits at Ashmont for last Red Line train
63070771,trip_type,wait
63070812,note,Waits at W Broadway @ Broadway Station for last Red Line train
63070812,trip_type,wait
63070936,note,Waits at W Broadway @ Broadway Station for last Red Line train
63070936,trip_type,wait
63071350,note,Waits at Nubian for last Silver Line bus
63071350,trip_type,wait
63071351,note,Waits at Nubian for last Silver Line bus
63071351,trip_type,wait
63071601,note,Waits at Harvard Sq @ Garden St - Dawes Island for last Red Line train
63071601,trip_type,wait
63071700,note,Waits at Massachusetts Ave opp Holyoke St for last Red Line train
63071700,trip_type,wait
63071934,note,Waits at Tremont St opp Temple Pl for last Red Line and Green Line trains
63071934,trip_type,wait
